rcp_scenario,region,season,year_30yravg,status,percentile,value
4.5,Buzzards Bay,Annual,2090,Projected,75,6.02069216282
4.5,Buzzards Bay,Annual,2090,Projected,90,6.66847475321
8.5,Buzzards Bay,Annual,2035,Projected,10,2.06250482239
8.5,Buzzards Bay,Annual,2035,Projected,25,2.82343258943
8.5,Buzzards Bay,Annual,2035,Projected,50,3.20924583389
8.5,Buzzards Bay,Annual,2035,Projected,75,3.51749623576
8.5,Buzzards Bay,Annual,2035,Projected,90,3.69403215108
8.5,Buzzards Bay,Annual,2055,Projected,10,3.74384687425
8.5,Buzzards Bay,Annual,2055,Projected,25,4.12339562626
8.5,Buzzards Bay,Annual,2055,Projected,50,5.09966090239
8.5,Buzzards Bay,Annual,2055,Projected,75,5.72205184895
8.5,Buzzards Bay,Annual,2055,Projected,90,6.58372973409
8.5,Buzzards Bay,Annual,2075,Projected,10,4.80043012099
8.5,Buzzards Bay,Annual,2075,Projected,25,5.54949171
8.5,Buzzards Bay,Annual,2075,Projected,50,7.09016070532
8.5,Buzzards Bay,Annual,2075,Projected,75,8.28560470815
8.5,Buzzards Bay,Annual,2075,Projected,90,9.6230420748
8.5,Buzzards Bay,Annual,2090,Projected,10,5.78071398735
8.5,Buzzards Bay,Annual,2090,Projected,25,6.907851016
8.5,Buzzards Bay,Annual,2090,Projected,50,8.83200028538
8.5,Buzzards Bay,Annual,2090,Projected,75,10.1872890312
8.5,Buzzards Bay,Annual,2090,Projected,90,11.2701728816
N/A,Cape Cod,Annual,1985,Observed,N/A,49.9155532284
4.5,Cape Cod,Annual,2035,Projected,10,1.73509114585
4.5,Cape Cod,Annual,2035,Projected,25,2.15235364958
4.5,Cape Cod,Annual,2035,Projected,50,2.42011241361
4.5,Cape Cod,Annual,2035,Projected,75,3.10558617518
4.5,Cape Cod,Annual,2035,Projected,90,3.38110860675
4.5,Cape Cod,Annual,2055,Projected,10,2.37912524093
4.5,Cape Cod,Annual,2055,Projected,25,2.75529029411
4.5,Cape Cod,Annual,2055,Projected,50,3.39391278486
4.5,Cape Cod,Annual,2055,Projected,75,4.16930771859
4.5,Cape Cod,Annual,2055,Projected,90,4.58155933891
4.5,Cape Cod,Annual,2075,Projected,10,2.53474613715
4.5,Cape Cod,Annual,2075,Projected,25,2.89776424031
4.5,Cape Cod,Annual,2075,Projected,50,4.08226854179
4.5,Cape Cod,Annual,2075,Projected,75,4.75882205691
4.5,Cape Cod,Annual,2075,Projected,90,5.01950489911
4.5,Cape Cod,Annual,2090,Projected,10,2.76848889984
4.5,Cape Cod,Annual,2090,Projected,25,3.48284593784
4.5,Cape Cod,Annual,2090,Projected,50,4.61663701716
4.5,Cape Cod,Annual,2090,Projected,75,5.42771170089
4.5,Cape Cod,Annual,2090,Projected,90,6.19725106498
8.5,Cape Cod,Annual,2035,Projected,10,1.89306067451
8.5,Cape Cod,Annual,2035,Projected,25,2.57291548929
8.5,Cape Cod,Annual,2035,Projected,50,2.93345972131
8.5,Cape Cod,Annual,2035,Projected,75,3.32847433681
8.5,Cape Cod,Annual,2035,Projected,90,3.38695453439
8.5,Cape Cod,Annual,2055,Projected,10,3.38123614161
8.5,Cape Cod,Annual,2055,Projected,25,3.84464978428
8.5,Cape Cod,Annual,2055,Projected,50,4.62408020274
8.5,Cape Cod,Annual,2055,Projected,75,5.20918813531
8.5,Cape Cod,Annual,2055,Projected,90,6.10047712157
8.5,Cape Cod,Annual,2075,Projected,10,4.20702924737
8.5,Cape Cod,Annual,2075,Projected,25,5.1681331768
8.5,Cape Cod,Annual,2075,Projected,50,6.39961323134
8.5,Cape Cod,Annual,2075,Projected,75,7.59551858124
8.5,Cape Cod,Annual,2075,Projected,90,8.8295804348
8.5,Cape Cod,Annual,2090,Projected,10,5.2011723737
8.5,Cape Cod,Annual,2090,Projected,25,6.47378022616
8.5,Cape Cod,Annual,2090,Projected,50,8.14938445577
8.5,Cape Cod,Annual,2090,Projected,75,9.38376711265
8.5,Cape Cod,Annual,2090,Projected,90,10.4236176179
N/A,Charles,Annual,1985,Observed,N/A,49.3802505105
4.5,Charles,Annual,2035,Projected,10,1.90443651183
4.5,Charles,Annual,2035,Projected,25,2.24983051736
4.5,Charles,Annual,2035,Projected,50,2.67099042154
4.5,Charles,Annual,2035,Projected,75,3.6170581064
4.5,Charles,Annual,2035,Projected,90,3.94285545772
4.5,Charles,Annual,2055,Projected,10,2.66638881422
4.5,Charles,Annual,2055,Projected,25,2.9541897034
4.5,Charles,Annual,2055,Projected,50,3.83658165133
4.5,Charles,Annual,2055,Projected,75,4.64058717171
4.5,Charles,Annual,2055,Projected,90,5.15830741962
4.5,Charles,Annual,2075,Projected,10,2.81450798559
4.5,Charles,Annual,2075,Projected,25,3.30969052021
4.5,Charles,Annual,2075,Projected,50,4.5450701304
4.5,Charles,Annual,2075,Projected,75,5.51113786215
4.5,Charles,Annual,2075,Projected,90,5.86456939135
4.5,Charles,Annual,2090,Projected,10,3.0771384044
