featureid,huc8,AreaSqKM,impoundArea,agriculture,devel_hi,forest,mean_jul_temp,occ_current,occ_air_2,occ_air_4,occ_air_6,occ_45_2035,occ_45_2055,occ_45_2075,occ_45_2090,occ_85_2035,occ_85_2055,occ_85_2075,occ_85_2090
201479527,01070004,0.8683210948284369,0.203413,2.76661,0.560634,55.45,20.588780415698714,0.7773664713886653,0.44483482182973866,0.15531477737394597,0.040486505415433506,0.5080177921705947,0.37973289236472824,0.3477360488769832,0.3083490828044327,0.4072062885657976,0.23493501752536328,0.09976451242805487,0.04368951412518229
201479529,01090001,1.3945532378218304,0.149372,1.15376,4.50258,45.4394,21.32727347294965,0.1914144821643373,0.05230983480404061,0.012706657500581638,0.002991933442988622,0.07668115441964292,0.04941191230201489,0.04297924529310387,0.032114609019298704,0.06022987675182624,0.026425530599015562,0.009923413673463522,0.00469014808095156
201479531,01070005,0.3822152230475337,0.0265024,5.93505,0,41.1192,20.083923536614172,0.520883263061938,0.23443330631781256,0.0794040345809307,0.023718423396810264,0.28579723601539825,0.19648429851987742,0.17958781786605565,0.1558647949420993,0.22737991898625404,0.12329563237493556,0.05464791705516983,0.026025923441186052
201479532,01080203,0.7325385005281587,0.062479200000000006,0.0499833,0,90.7717,16.63518493632095,0.9963781296597982,0.9884747193382204,0.9639490067460371,0.8928881622771856,0.990640928770027,0.9853260694527337,0.9833013325051045,0.9810275790677976,0.9870926468540854,0.9746425979913318,0.9406985300060592,0.8822005338155559
201479535,01070005,0.8682681611356535,0.325573,3.36421,2.41346,61.042,19.60008559932237,0.6356275914854753,0.3322915509285545,0.12432301452372753,0.0389259841431392,0.39341716184302145,0.28484711384025974,0.2630535301684094,0.23171970385096538,0.3236256822230971,0.18722439549641198,0.08720409785301521,0.04260924955954116
201479536,01090001,0.6171891237719495,0.22099100000000002,0,1.15167,39.1931,21.41037389703188,0.1791586201811445,0.047915282821623176,0.011471172104969521,0.0026685660640697714,0.0705964785574632,0.045229305776374365,0.039276303233120854,0.029253073025716374,0.05526849229784841,0.024022184419875112,0.008939091896357517,0.004198448246708282
201479538,01080204,1.642902550875396,0.16695699999999997,1.1039,0,73.4038,20.755512604047244,0.7768734983481467,0.4436453260539204,0.1544261164086828,0.04014751789990248,0.49756529824944623,0.36485126373645005,0.33441408184942556,0.2980902181116086,0.3974793690821702,0.22502407354325826,0.08895653954108962,0.03674562634395889
201479539,01080204,0.7470542806874718,0.029004199999999997,24.9114,0.0644538,70.6625,19.092588354363524,0.9464809462277795,0.8002238724182023,0.475687987283016,0.17046380548171586,0.8328507475413219,0.7421618497139492,0.7155122369520057,0.6798149304707253,0.7679315126724087,0.5914208551316295,0.32559357557304436,0.15774320723092994
201479540,01080204,1.4147344202946357,0.0678489,7.9486,0.0519517,85.8132,19.635951306846657,0.9122709828941084,0.6996890051265824,0.34297835508334457,0.104713416903476,0.7437754587312078,0.6254964809132347,0.5931570692410773,0.5514194834949505,0.6577752892437374,0.45525255727968655,0.2166126969561492,0.09627059389247365
201479542,01070005,1.3671396519077756,0.159375,5.6307,4.35152,53.4454,19.904613003219424,0.5643465161853487,0.27049038246921975,0.09594688952241487,0.029481983994810945,0.32564066867215824,0.22894961629567595,0.2102239975235651,0.18368191503947728,0.26282203233948853,0.14673942357423075,0.06672051719675605,0.03229387845312171
